b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
88.539,83.7662857142857,135.42799999999997,92.49434285714285,93.20708571428571,92.67045714285713,81.00485714285716,78.53114285714284,-20.0,1,2016/04/06/wasmlb-atlmlb-1,546.498,1
88.14228571428569,103.186,111.08111428571428,118.74642857142858,142.06605714285715,93.24422857142858,108.3047142857143,88.9792857142857,-20.0,0,2016/04/06/lanmlb-sdnmlb-1,618.174,7
90.99674285714286,84.99560000000002,114.89885714285714,113.6214,95.7596,95.7002,73.88539999999998,95.30165714285714,-20.0,1,2016/04/06/lanmlb-sdnmlb-1,601.74,0
110.40205714285715,82.78,126.1604,104.24351428571428,102.48154285714287,93.8016,97.70222857142856,91.09028571428571,92.26931428571429,0,2016/04/06/chamlb-oakmlb-1,607.482,1
84.65205714285716,107.21337142857142,96.57251428571428,91.93908571428571,105.0572,91.15902857142858,103.65091428571428,105.592,104.00765714285713,1,2016/04/06/chamlb-oakmlb-1,611.145,2
112.78691428571429,101.70965714285715,125.21705714285713,103.0646,92.6609142857143,82.24,95.35948571428571,92.73651428571428,83.18,0,2016/04/07/chamlb-oakmlb-1,653.418,6
85.76268571428571,94.27657142857143,112.65731428571428,92.2248,105.19234285714286,95.59845714285716,103.57651428571428,103.7398,89.1102,1,2016/04/07/chamlb-oakmlb-1,640.251,1
94.45454285714285,102.30628571428572,116.37171428571428,153.58714285714285,94.06757142857144,103.21208571428572,83.02682857142858,76.38948571428571,-20.0,0,2016/04/07/miamlb-wasmlb-1,644.607,6
73.457,106.31008571428572,157.81668571428568,102.38648571428571,100.89437142857143,107.83017142857143,83.27728571428571,76.71468571428571,-20.0,1,2016/04/07/miamlb-wasmlb-1,643.023,4
113.25125714285716,121.50828571428569,127.67785714285715,93.81691428571428,99.96485714285713,100.15942857142856,114.17257142857143,101.89657142857143,83.92802857142857,0,2016/04/07/houmlb-nyamlb-1,624.015,5
90.00742857142859,100.4836,103.2674,109.33771428571428,98.78582857142857,107.10691428571428,100.227,101.8986857142857,92.63331428571428,1,2016/04/07/houmlb-nyamlb-1,613.719,8
88.39257142857143,101.83357142857143,146.61157142857144,119.462,105.936,107.61111428571428,89.1503142857143,95.49034285714285,-20.0,0,2016/04/07/lanmlb-sfnmlb-1,648.3689999999999,6
99.94028571428572,99.50994285714285,135.98297142857143,111.47128571428571,122.5994,102.17091428571429,95.27302857142857,-20.0,85.8356,1,2016/04/07/lanmlb-sfnmlb-1,594.315,12
90.45997142857144,80.1,102.96474285714287,123.17062857142857,97.06342857142856,88.5808,91.70337142857143,88.71,88.0316,0,2016/04/07/minmlb-balmlb-1,626.193,2
90.67485714285714,90.61,119.94228571428572,117.30351428571429,107.434,74.21137142857144,109.70331428571428,91.17217142857142,78.36,1,2016/04/07/minmlb-balmlb-1,658.4670000000001,4
109.6742,113.66757142857143,110.80902857142857,140.5800857142857,127.25314285714285,118.06634285714287,95.67414285714285,85.79765714285712,-20.0,0,2016/04/07/chnmlb-arimlb-1,621.0450000000001,14
84.16485714285712,76.982,142.6464,106.9908,90.55114285714285,95.95431428571429,88.92882857142858,71.64651428571429,-20.0,1,2016/04/07/chnmlb-arimlb-1,605.403,6
86.23311428571428,110.32608571428571,114.32862857142858,121.6424,84.4256,95.28685714285713,99.23885714285713,85.5724,85.574,0,2016/04/07/texmlb-anamlb-1,644.904,3
93.31388571428572,72.43771428571428,168.57925714285713,113.4026,102.20799999999998,108.66605714285713,85.60617142857143,75.60545714285716,93.53005714285715,1,2016/04/07/texmlb-anamlb-1,630.549,4
91.801,99.76554285714286,105.08874285714286,112.37931428571429,97.59645714285713,97.80457142857142,93.28097142857143,98.40068571428571,78.66562857142857,0,2016/04/08/nyamlb-detmlb-1,635.8950000000001,0
98.41914285714287,119.18405714285713,142.86714285714285,119.83205714285715,113.21457142857142,95.56854285714287,72.37514285714286,88.516,83.85782857142857,1,2016/04/08/nyamlb-detmlb-1,603.918,4
79.09211428571429,82.4352,82.87819999999998,89.33208571428571,84.8157142857143,91.36557142857143,72.17342857142856,74.23391428571428,-20.0,0,2016/04/08/phimlb-nynmlb-1,571.1490000000001,2
106.182,107.78457142857144,105.81914285714286,112.85634285714286,110.24891428571428,111.93697142857144,91.81845714285713,107.26337142857142,-20.0,1,2016/04/08/phimlb-nynmlb-1,619.362,7
80.42057142857144,101.50451428571431,95.59357142857141,109.10771428571428,121.80045714285713,94.5848,84.69611428571426,90.58114285714286,87.65700000000002,0,2016/04/08/clemlb-chamlb-1,667.971,7
113.64051428571429,80.66317142857143,125.77622857142856,99.87954285714287,103.23234285714285,91.99588571428572,94.68234285714287,91.67325714285714,92.91394285714287,1,2016/04/08/clemlb-chamlb-1,588.771,1
