date,mlb_id,wRAA,wrcplus,pa
2018-08-10,448801,-10.844187263063013,54.84,211.48100411123343
2018-08-11,448801,-9.635745390432383,60.05,214.36619407012108
2018-08-11,448801,-10.33938793652806,57.39,215.22253212941987
2018-08-12,448801,-10.43938793652806,57.85,220.22253212941987
2018-08-14,448801,-11.33499405716278,54.72,222.02030680812567
2018-08-15,448801,-9.809427675425239,60.5,221.60210270264395
2018-08-17,448801,-9.811333398670985,60.72,222.3860816756175
2018-08-18,448801,-9.916087864037433,60.22,221.96059865027271
2018-08-19,448801,-10.816926985397059,57.11,223.74099266377
2018-08-20,448801,-9.708757715543088,61.34,224.5035827371323
2018-08-21,448801,-10.611670138387657,58.27,226.25854690976095
2018-08-24,448801,-11.50555343700378,55.28,227.99596144066334
2018-08-25,448801,-9.36382699437133,62.85,226.2242533899142
2018-08-25,448801,-9.170188724427616,63.81,227.96201085601504
2018-08-26,448801,-9.470188724427617,63.29,231.96201085601504
2018-08-27,448801,-10.37548683718334,60.28,233.6423907474549
2018-08-28,448801,-10.571731968811507,59.83,235.30596683998036
2018-08-29,448801,-9.266014649123393,64.83,237.95290717158056
2018-08-31,448801,-9.77335450263216,63.4,240.57337809986475
2018-09-01,448801,-9.47886474802978,64.29,239.78596787567744
2018-09-02,448801,-9.684076100549483,63.77,241.38810819692065
2018-09-04,448801,-8.887235339543988,66.57,241.97422711495145
2018-09-05,448801,-8.510379356287062,67.97,242.1589399953639
2018-09-08,448801,-8.725275562724192,67.49,243.73735059541028
2018-09-09,448801,-9.466126153235722,64.57,240.498107545376
2018-09-11,448801,-10.371464891703365,61.71,242.09312646992223
2018-09-12,448801,-11.165072740358468,58.87,241.27547325317076
2018-09-14,448801,-11.853422012954884,56.62,241.86271852063905
2018-09-15,448801,-11.61753891489708,57.32,241.04965042207832
2018-09-17,448801,-12.00136352574811,56.28,242.63915391785753
2018-09-18,448801,-12.562536391585722,54.0,240.81063475489216
2018-09-21,448801,-12.836911027669865,53.33,242.40252840734323
2018-09-22,448801,-13.155641933237042,51.8,240.20293091111674
2018-09-23,448801,-14.324085513904672,48.25,242.80090160200558
2018-04-16,600524,0.0,75.41,0.0
2018-04-18,600524,-0.3,74.492,4.0
2018-04-21,600524,-0.09402999999999995,76.191,6.9204
2018-04-22,600524,-0.5912372149699999,74.181,10.7148571996
2018-04-28,600524,-1.3853248428203,70.342,13.607708627604001
2018-04-29,600524,-1.804255839987373,68.436,16.811387551721893
2018-05-01,600524,-0.8862132815874991,73.917,19.643273676204675
2018-05-02,600524,-1.1685776372839078,72.299,20.252372530048202
2018-05-03,600524,-1.1685776372839078,72.299,20.252372530048202
2018-05-05,600524,-2.145322942301958,67.249,23.849350316700242
2018-05-06,600524,-2.602631015750149,65.073,27.374748245397907
2018-05-07,600524,-2.1766047055926476,67.844,31.101000762943926
2018-05-09,600524,-2.954838658536721,63.829,33.78999075531449
2018-07-20,600524,-2.59603736923184,66.244,37.11756993928373
2018-07-21,600524,-1.259055720986683,71.524,22.001701106100292
2018-07-22,600524,-2.0464651637768165,67.521,24.78168409503929
2018-07-23,600524,-2.0260005121390483,68.157,28.533867254088896
2018-07-24,600524,-2.005740507017658,68.707,32.24852858154801
2018-07-27,600524,-2.4856831019474814,66.455,35.926043295732526
2018-07-31,600524,-2.7118558281365392,65.288,35.859003883805975
2018-08-01,600524,-2.904997888203205,64.566,38.44601605335852
2018-08-02,600524,-1.175947909321173,74.701,42.061555892824934
2018-08-03,600524,-0.9641884302279613,76.396,46.64094033389669
2018-08-04,600524,0.045453454074318334,82.384,50.17453093055772
2018-08-05,600524,-0.05500108046642486,82.047,52.672785621252146
2018-08-07,600524,0.3455489303382394,84.625,56.14605776503962
2018-08-08,600524,0.6386725066245085,86.771,59.028751215515335
2018-08-09,600524,-0.3677142184417366,81.75,62.43846370336018
2018-08-10,600524,0.2359629237426808,85.699,65.81407906632657
2018-08-11,600524,0.8336032945052539,89.525,70.1559382756633
2018-08-11,600524,1.4252672615602013,93.171,73.45437889290667
2018-08-12,600524,0.6252672615602013,89.019,76.45437889290667
2018-08-14,600524,1.4190145889445993,93.781,79.68983510397761
2018-08-15,600524,2.390776198624602,99.729,82.10400738540845
2018-08-17,600524,1.666868436638356,96.463,86.28296731155437
2018-08-18,600524,1.7336977547492527,97.115,88.56593626205444
2018-08-19,600524,2.41636077720176,101.313,91.68027689943389
2018-08-20,600524,1.3921971694297421,95.986,94.76347413043955
2018-08-21,600524,1.9782751977354445,99.668,97.81583938913515
2018-08-22,600524,1.4584924457580901,97.184,100.8376809952438
2018-08-24,600524,0.6439075213005092,92.918,102.82930418529136
2018-08-25,600524,-0.3689062383733709,87.537,104.78300103200407
2018-08-25,600524,0.7347828240103629,94.091,107.73517102168402
2018-08-26,600524,0.23478282401036288,91.85,111.73517102168402
2018-08-27,600524,-0.06756500422974074,90.555,114.61781931146719
2018-08-28,600524,-0.36688935418744334,89.279,117.47164111835251
2018-08-29,600524,0.43677953935443115,94.144,120.29692470716898
2018-08-31,600524,-0.5675882560391132,88.926,123.09395546009729
2018-09-01,600524,-1.3562932497439348,84.568,123.64438574644136
2018-09-02,600524,-1.6427303172464955,83.315,126.40794188897695
2018-09-03,600524,-1.9263030140740307,81.675,126.14386247008719
2018-09-04,600524,-2.7070399839332904,77.72,127.88242384538631
2018-09-05,600524,-0.5799695840939574,90.116,130.60359960693245
2018-09-07,600524,-1.5741698882530177,85.114,133.29756361086314
2018-09-08,600524,-2.342843907476783,81.005,133.64494209500697
2018-09-09,600524,-1.0194154684020151,88.877,136.3084926740569
2018-09-11,600524,-0.3092213137179951,93.325,138.94540774731632
2018-09-12,600524,-1.103067809575007,89.013,139.18039413314472
2018-09-13,600524,-1.103067809575007,89.013,139.18039413314472
2018-09-14,600524,-1.1811167601644645,88.7,139.41070428989514
2018-09-15,600524,-1.46930559256282,87.51,142.01659724699618
2018-09-16,600524,-1.7546125366371919,86.332,144.59643127452622
2018-09-17,600524,-1.13706641127082,90.194,147.15046696178095
2018-09-19,600524,-1.2256957471581118,89.901,148.67896229216313
2018-09-21,600524,-2.0013044017896653,85.563,148.7202509425491
2018-09-23,600524,-0.6614784441940509,93.162,149.76071794879235
2018-09-24,600524,0.9516849768454109,102.15,150.78047966161137
2018-09-26,600524,2.0421681270769567,107.9,153.27267486499525
2018-09-26,600524,2.6015289813481255,110.77,154.22254863518185
2018-09-28,600524,2.3015289813481257,108.72,158.22254863518185
2018-09-29,600524,1.755728554619298,106.01,157.07391991734173
2018-09-29,600524,1.8381712690731051,106.4,159.5031807181683
2018-09-30,600524,2.138171269073105,107.8,163.5031807181683
2018-10-01,600524,2.816789556382374,111.16,165.8681489109866
2018-03-31,623993,0.0,95.9,0.0
2018-04-03,623993,-0.5,93.06,4.0
2018-04-04,623993,-0.4851495,93.348,7.881196
2018-04-05,623993,-1.480298005,88.006,11.80238404
2018-04-06,623993,-0.8654950249500001,91.43,15.6843601996
2018-04-07,623993,-1.1568400747005,89.839,21.527516597604
2018-04-08,623993,-2.145271673953495,84.322,25.312241431627957
2018-04-09,623993,-0.52381895721396,93.378,31.059119017311676
2018-04-10,623993,-1.5185807676418204,87.824,34.74852782713856
2018-04-11,623993,-1.6033949599654023,87.333,37.401042548867174
2018-04-14,623993,-1.6033949599654023,87.333,37.401042548867174
2018-04-15,623993,-1.340214800996875,88.623,38.927292242282036
2018-04-17,623993,-2.1268126529869065,84.084,41.53801931985922
2018-04-19,623993,-2.384489081192467,82.6,41.71141273539402
2018-04-20,623993,-2.6370377484767364,81.146,44.88135562195968
2018-04-21,623993,-3.410667370991969,76.791,47.43254206574008
2018-04-22,623993,-4.176560697282049,72.48,49.95821664508268
