role,pn,split,Throws,steamerid,mlbamid,firstname,lastname,start_percent,percentL,TBF,SH,SF,HBP,BB,IBB,AB,SO,1b,2b,3B,HR,AVG,OBP,SLG,wOBA,BABIP,SH/PA,SF/PA,HBP/PA,BB/PA,IBB/PA,AB/PA,SO/PA,1B/PA,2B/PA,3B/PA,HR/PA
RP,0,total,R,12360,534812,Kevin,Quackenbush,0,0.4332822376,237.3759171,2.49244713,2.620155373,1.665904186,20.08200259,2.354769098,210.5154079,49.20802762,35.51839342,10.39099311,1.142747968,6.85597651,0.2560767953,0.3221002218,0.38142839,0.314581,0.2948793755,0.0105,0.011038,0.007018,0.0846,0.00992,0.886844,0.2073,0.1496293047,0.04377442007,0.00481408553,0.02888235922
RP,1,total,R,12360,534812,Kevin,Quackenbush,0,0.4332822376,239.4427514,2.51414889,2.770113191,1.680409229,20.28080104,2.375272094,212.1972791,46.85894645,36.06154457,11.00548191,1.174443341,7.446479542,0.2624347947,0.327732316,0.3955530316,0.323008,0.2956405095,0.0105,0.011569,0.007018,0.0847,0.00992,0.886213,0.1957,0.1506061234,0.04596289445,0.004904902463,0.03109920638
RP,0,total,R,12447,607625,Seth,Lugo,0,0.4217267272,84.99787505,0.8924776881,0.8849128772,0.7815554611,5.558861028,0.8835529112,76.880068,18.0280493,13.29756802,3.793398779,0.3727845451,2.421233726,0.2586494209,0.3118159164,0.3806763073,0.308146,0.3000223109,0.0105,0.010411,0.009195,0.0654,0.010395,0.904494,0.2121,0.1564458877,0.04462933663,0.004385810173,0.02848581479
RP,1,total,R,12447,607625,Seth,Lugo,0,0.4217267272,85.4335754,0.8970525416,0.9310551047,0.7855617258,5.655702691,0.8880820162,77.16420333,17.2832123,13.31937401,3.903337507,0.4168977078,2.531257799,0.2614018697,0.3148004028,0.3883992091,0.312711,0.2980779455,0.0105,0.010898,0.009195,0.0662,0.010395,0.903207,0.2023,0.1559032728,0.04568856552,0.00487978767,0.02962837254
RP,0,total,R,1246,456713,Matt,Bush,0,0.3920224118,271.5121136,1.466165414,2.573663325,2.257080201,20.90643275,2.323057644,244.3087719,67.95948204,38.96563424,10.94012939,1.263369098,7.05481863,0.2383211659,0.3013837639,0.3511967889,0.293085,0.2952048886,0.0054,0.009479,0.008313,0.077,0.008556,0.899808,0.2503,0.1435134282,0.0402933381,0.004653085572,0.02598343969
RP,1,total,R,1246,456713,Matt,Bush,0,0.3920224118,268.7060769,1.451012815,2.430177759,2.233753617,20.09921455,2.299049194,242.4919181,70.48160397,38.1743565,10.6923162,1.123986135,6.321071491,0.2322210602,0.2942683192,0.3377191388,0.28385,0.2948076376,0.0054,0.009044,0.008313,0.0748,0.008556,0.902443,0.2623,0.142067336,0.03979186597,0.004182957631,0.02352411067
RP,0,total,R,1247,493603,Adam,Ottavino,0,0.3864780169,274.9576988,2.887055838,2.195812183,2.650042301,22.57402707,2.750401861,244.6507614,71.21404399,40.40258733,10.94284022,1.385144373,6.601109291,0.2425158249,0.3107860137,0.3525312092,0.297593,0.3067184697,0.0105,0.007986,0.009638,0.0821,0.010003,0.889776,0.259,0.1469411022,0.03979826811,0.005037663536,0.02400772672
RP,1,total,R,1247,493603,Adam,Ottavino,0,0.3864780169,271.8527813,2.854454203,2.294709327,2.620117106,22.12881639,2.719343371,241.9546842,72.2040987,38.65330868,10.63283369,1.129327037,6.010823685,0.2332101702,0.3017685184,0.3361762906,0.286648,0.2985125833,0.0105,0.008441,0.009638,0.0814,0.010003,0.890021,0.2656,0.1421847093,0.03911246978,0.004154186069,0.02211058374
RP,0,total,R,12537,543508,Cory,Mazzoni,0,0.433586139,42.06983593,0.4417332772,0.356668069,0.342574674,3.491796382,0.383087926,37.43706353,10.53007993,6.191034652,1.636795646,0.1808716324,0.9383448924,0.238989012,0.3070382041,0.3425021706,0.291873,0.2992001326,0.0105,0.008478,0.008143,0.083,0.009106,0.889879,0.2503,0.1471608937,0.03890663251,0.004299318701,0.02230445809
RP,1,total,R,12537,543508,Cory,Mazzoni,0,0.433586139,42.44482173,0.4456706282,0.3818336163,0.3456281834,3.527164686,0.3865025467,37.74452462,10.09337861,6.302964938,1.742295802,0.1863452444,1.032543204,0.2454435254,0.3127906568,0.3561899911,0.300156,0.2999188908,0.0105,0.008996,0.008143,0.0831,0.009106,0.889261,0.2378,0.1484978539,0.04104848909,0.004390293957,0.02432671788
