key,away,date,home,ml_away_close,ml_away_open,ml_home_close,ml_home_open,rl_away_close,rl_away_open,rl_home_close,rl_home_open,time,total_close_line,total_close_odds,total_open_line,total_open_odds
2018/03/31/wasmlb-cinmlb-1,Washington Nationals,2018-03-31,Cincinnati Reds,1.68,1.52,2.36,2.79,2.15,1.8,1.8,2.05,2:10p,8.0,2.02,8.5,1.83
2018/03/31/anamlb-oakmlb-1,Los Angeles Angels,2018-03-31,Oakland Athletics,1.93,1.85,1.98,2.07,2.5,2.35,1.62,1.65,4:05p,9.0,1.95,9.5,2.03
2018/03/31/houmlb-texmlb-1,Houston Astros,2018-03-31,Texas Rangers,1.53,1.54,2.8,2.74,1.83,1.74,2.1,2.15,4:05p,10.0,2.1,9.5,1.8
2018/03/31/nyamlb-tormlb-1,New York Yankees,2018-03-31,Toronto Blue Jays,1.91,1.72,2.0,2.29,2.5,2.05,1.62,1.8,4:07p,9.0,1.83,9.0,1.95
2018/03/31/clemlb-seamlb-1,Cleveland Indians,2018-03-31,Seattle Mariners,1.93,1.74,1.98,2.25,2.55,2.15,1.61,1.74,4:10p,7.0,2.15,8.0,2.05
2018/03/31/bosmlb-tbamlb-1,Boston Red Sox,2018-03-31,Tampa Bay Rays,1.88,1.68,2.03,2.38,2.4,2.05,1.67,1.8,6:10p,8.0,2.05,8.5,1.83
2018/03/31/minmlb-balmlb-1,Minnesota Twins,2018-03-31,Baltimore Orioles,1.85,2.0,2.07,1.91,2.4,1.51,1.67,2.7,7:05p,9.0,2.05,9.5,1.95
2018/03/31/chnmlb-miamlb-1,Chicago Cubs,2018-03-31,Miami Marlins,1.48,1.43,2.9,3.12,1.77,1.69,2.2,2.25,7:10p,8.0,1.99,8.5,1.95
2018/03/31/phimlb-atlmlb-1,Philadelphia Phillies,2018-03-31,Atlanta Braves,1.98,2.1,1.93,1.83,1.5,1.56,2.85,2.6,7:10p,8.0,1.93,9.0,1.95
2018/03/31/chamlb-kcamlb-1,Chicago White Sox,2018-03-31,Kansas City Royals,1.95,2.16,1.95,1.79,1.5,1.53,2.85,2.65,7:15p,8.5,2.06,8.5,1.83
2018/03/31/colmlb-arimlb-1,Colorado Rockies,2018-03-31,Arizona Diamondbacks,2.37,2.46,1.68,1.64,1.65,1.67,2.45,2.3,8:10p,8.5,2.1,8.5,1.87
2018/03/31/milmlb-sdnmlb-1,Milwaukee Brewers,2018-03-31,San Diego Padres,1.83,1.81,2.1,2.13,2.45,2.25,1.65,1.69,8:40p,8.0,2.1,8.0,1.83
2018/03/31/sfnmlb-lanmlb-1,San Francisco Giants,2018-03-31,Los Angeles Dodgers,2.84,2.86,1.51,1.5,1.95,1.8,1.95,2.05,9:10p,8.0,1.89,8.5,2.0
2018/04/01/minmlb-balmlb-1,Minnesota Twins,2018-04-01,Baltimore Orioles,2.09,2.05,1.84,1.87,1.56,1.49,2.67,2.75,1:05p,8.5,1.87,9.0,1.87
2018/04/01/nyamlb-tormlb-1,New York Yankees,2018-04-01,Toronto Blue Jays,2.05,1.83,1.87,2.1,1.5,2.3,2.85,1.67,1:07p,8.5,1.97,8.5,1.83
2018/04/01/slnmlb-nynmlb-1,St. Louis Cardinals,2018-04-01,New York Mets,1.68,1.95,2.36,1.95,2.1,1.47,1.83,2.85,1:10p,8.0,1.91,7.5,1.8
2018/04/01/chnmlb-miamlb-1,Chicago Cubs,2018-04-01,Miami Marlins,1.49,1.45,2.88,3.03,1.8,1.74,2.15,2.15,1:10p,8.0,2.05,8.5,1.95
2018/04/01/bosmlb-tbamlb-1,Boston Red Sox,2018-04-01,Tampa Bay Rays,2.01,1.78,1.9,2.18,2.55,2.2,1.61,1.71,1:10p,8.5,2.05,8.5,1.91
2018/04/01/pitmlb-detmlb-1,Pittsburgh Pirates,2018-04-01,Detroit Tigers,2.02,1.95,1.89,1.95,1.53,1.49,2.75,2.75,1:10p,8.5,1.91,8.5,1.91
2018/04/01/houmlb-texmlb-1,Houston Astros,2018-04-01,Texas Rangers,1.65,1.62,2.45,2.51,2.05,1.87,1.87,1.95,3:05p,9.5,2.01,10.0,1.95
