"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","PA","playerid"
"Alcides Escobar","Royals",".344","2.25","23.0 %","53.3 %","23.7 %","9.6 %","4.3 %","648","6310"
"Howie Kendrick","Angels",".347","2.81","20.6 %","58.6 %","20.8 %","2.2 %","8.9 %","594","4229"
"Russell Martin","Yankees",".222","1.46","19.4 %","47.8 %","32.7 %","9.4 %","19.8 %","485","4616"
"Andrew Brown","Rockies",".280","1.24","18.8 %","45.0 %","36.3 %","0.0 %","17.2 %","126","3837"
"Jason Kipnis","Indians",".291","1.56","22.9 %","47.0 %","30.1 %","5.5 %","9.7 %","672","9776"
"Willie Bloomquist","Diamondbacks",".362","1.77","22.4 %","49.6 %","28.0 %","12.0 %","0.0 %","338","1066"
"Gerald Laird","Tigers",".309","1.09","23.3 %","40.0 %","36.7 %","12.7 %","3.6 %","191","1698"
"Donovan Solano","Marlins",".357","1.66","28.3 %","44.8 %","27.0 %","8.1 %","3.2 %","316","8623"
"Nate Schierholtz","- - -",".292","1.34","19.7 %","46.0 %","34.3 %","13.2 %","8.8 %","269","6201"
"Scott Rolen","Reds",".282","1.08","20.4 %","41.3 %","38.3 %","10.0 %","8.9 %","330","970"
"Lyle Overbay","- - -",".346","1.80","32.5 %","43.4 %","24.1 %","5.0 %","10.0 %","131","1617"
"Wil Nieves","- - -",".354","6.29","23.9 %","65.7 %","10.4 %","14.3 %","28.6 %","89","1556"
"Chris Heisey","Reds",".328","0.92","21.9 %","37.3 %","40.8 %","16.0 %","6.6 %","375","3978"
"Danny Espinosa","Nationals",".333","1.38","18.9 %","47.0 %","34.1 %","12.6 %","12.6 %","658","9219"
"Eduardo Nunez","Yankees",".313","1.13","16.5 %","44.3 %","39.2 %","25.8 %","3.2 %","100","6848"
"Justin Turner","Mets",".301","1.60","24.3 %","46.6 %","29.1 %","7.0 %","4.7 %","185","5235"
"Mark Ellis","Dodgers",".296","1.15","26.6 %","39.2 %","34.2 %","7.7 %","6.0 %","464","1443"
"Tyler Flowers","White Sox",".301","1.83","17.7 %","53.2 %","29.1 %","26.1 %","30.4 %","153","9134"
"Adam Kennedy","Dodgers",".304","1.16","22.3 %","41.7 %","36.0 %","2.0 %","4.0 %","201","19"
"Skip Schumaker","Cardinals",".332","2.33","22.8 %","54.0 %","23.2 %","1.9 %","1.9 %","304","3704"
"DeWayne Wise","- - -",".299","1.03","21.6 %","39.8 %","38.6 %","9.1 %","12.1 %","239","1554"
"Omar Infante","- - -",".291","1.04","20.1 %","40.8 %","39.1 %","5.2 %","6.3 %","588","1609"
"Shane Victorino","- - -",".278","1.29","17.8 %","46.3 %","35.9 %","14.7 %","6.0 %","666","1677"
"Bobby Abreu","- - -",".311","1.80","24.5 %","48.5 %","27.0 %","0.0 %","6.8 %","257","945"
"Steve Pearce","- - -",".288","0.84","17.2 %","37.7 %","45.1 %","7.3 %","7.3 %","188","9957"
"Carlos Pena","Rays",".264","0.87","20.2 %","37.2 %","42.6 %","16.5 %","14.3 %","600","934"
"Domonic Brown","Phillies",".260","1.41","20.6 %","46.5 %","32.9 %","3.9 %","9.8 %","212","3154"
"Desmond Jennings","Rays",".298","1.10","20.1 %","42.0 %","38.0 %","18.1 %","9.0 %","563","1965"
"Jason Giambi","Rockies",".288","1.45","19.4 %","47.8 %","32.8 %","0.0 %","4.5 %","113","818"
"Luke Scott","Rays",".259","1.04","17.4 %","42.1 %","40.4 %","14.7 %","14.7 %","344","3469"
"Logan Morrison","Marlins",".248","1.01","18.4 %","41.0 %","40.6 %","7.2 %","11.3 %","334","9205"
"Alberto Callaspo","Angels",".268","1.22","20.7 %","43.6 %","35.7 %","9.1 %","7.0 %","520","3336"
"Jordany Valdespin","Mets",".273","1.40","15.4 %","49.3 %","35.3 %","22.9 %","16.7 %","206","5098"
"Avisail Garcia","Tigers",".405","5.75","27.0 %","62.2 %","10.8 %","0.0 %","0.0 %","51","5760"
"Carlos Lee","- - -",".273","1.10","22.1 %","40.8 %","37.1 %","10.1 %","4.8 %","615","243"
"Casper Wells","Mariners",".282","0.88","15.3 %","39.6 %","45.0 %","19.8 %","11.0 %","316","9700"
"Travis Snider","- - -",".322","2.17","18.8 %","55.6 %","25.6 %","6.7 %","13.3 %","185","2830"
"Andruw Jones","Yankees",".212","0.75","15.2 %","36.4 %","48.5 %","17.5 %","17.5 %","269","96"
"Nate McLouth","- - -",".286","1.14","20.1 %","42.6 %","37.3 %","15.8 %","9.2 %","298","3190"
"Mike Moustakas","Royals",".274","0.68","16.4 %","33.8 %","49.8 %","17.6 %","9.0 %","614","4892"
"Quintin Berry","Tigers",".348","3.00","19.6 %","60.3 %","20.1 %","2.5 %","5.0 %","330","9414"
"Delmon Young","Tigers",".299","1.25","22.4 %","43.1 %","34.5 %","12.3 %","11.1 %","608","2140"
"Ezequiel Carrera","Indians",".342","1.69","25.7 %","46.7 %","27.6 %","10.3 %","6.9 %","158","9048"
"Ryan Hanigan","Reds",".302","2.05","21.2 %","53.0 %","25.8 %","5.5 %","2.7 %","371","4952"
"Kirk Nieuwenhuis","Mets",".358","1.90","22.4 %","50.8 %","26.8 %","6.1 %","14.3 %","314","6400"
"A.J. Pollock","Diamondbacks",".257","1.67","20.0 %","50.0 %","30.0 %","9.5 %","9.5 %","93","9256"
"Pedro Ciriaco","Red Sox",".352","1.84","23.2 %","49.8 %","27.1 %","7.3 %","3.6 %","272","5278"
"J.P. Arencibia","Blue Jays",".281","0.83","17.8 %","37.2 %","45.0 %","14.7 %","16.5 %","372","697"
"Ruben Tejada","Mets",".339","1.31","30.0 %","39.7 %","30.3 %","6.8 %","0.8 %","501","5519"
"Elian Herrera","Dodgers",".338","2.77","23.4 %","56.3 %","20.3 %","7.7 %","3.8 %","214","5432"
"Jayson Nix","Yankees",".325","1.10","12.3 %","45.9 %","41.8 %","13.7 %","7.8 %","202","3790"
"Kila Ka'aihue","Athletics",".271","1.10","15.2 %","44.4 %","40.4 %","15.0 %","10.0 %","139","4707"
"Darin Mastroianni","Twins",".328","1.79","28.9 %","45.6 %","25.4 %","3.4 %","10.3 %","186","7316"
"John Mayberry","Phillies",".296","1.83","19.9 %","51.8 %","28.3 %","11.7 %","14.9 %","479","3390"
"J.D. Martinez","Astros",".290","1.64","16.6 %","51.8 %","31.6 %","13.7 %","11.6 %","439","6184"
"Ryan Howard","Phillies",".287","1.39","25.6 %","43.3 %","31.1 %","0.0 %","27.5 %","292","2154"
"Juan Francisco","Braves",".316","1.33","23.8 %","43.4 %","32.8 %","5.0 %","22.5 %","205","6978"
"Gregor Blanco","Giants",".318","1.38","23.6 %","44.3 %","32.1 %","10.0 %","5.6 %","453","3123"
"Ty Wigginton","Phillies",".275","1.28","18.3 %","45.8 %","35.8 %","15.1 %","12.8 %","360","1491"
"Jhonny Peralta","Tigers",".275","1.13","22.0 %","41.4 %","36.7 %","7.0 %","8.3 %","585","1738"
"Brian McCann","Braves",".234","0.97","19.0 %","39.8 %","41.2 %","10.0 %","13.3 %","487","4810"
"Jacoby Ellsbury","Red Sox",".304","1.42","20.3 %","46.7 %","33.0 %","8.1 %","4.7 %","323","4727"
"Brock Holt","Pirates",".365","3.20","19.2 %","61.5 %","19.2 %","0.0 %","0.0 %","72","9345"
"Russ Canzler","Indians",".324","1.30","12.7 %","49.3 %","38.0 %","0.0 %","11.1 %","97","8265"
"Josh Donaldson","Athletics",".278","1.06","22.5 %","39.9 %","37.6 %","11.3 %","11.3 %","294","5038"
"Ichiro Suzuki","- - -",".300","2.09","24.7 %","50.9 %","24.4 %","13.8 %","6.5 %","663","1101"
"Ben Revere","Twins",".325","4.61","18.6 %","66.9 %","14.5 %","1.6 %","0.0 %","553","4712"
"Jamey Carroll","Twins",".306","2.81","23.7 %","56.3 %","20.0 %","14.8 %","1.2 %","537","1591"
"Mike Fontenot","Phillies",".370","1.48","29.7 %","41.9 %","28.4 %","4.8 %","4.8 %","105","3912"
"Kelly Johnson","Blue Jays",".292","1.34","21.0 %","45.2 %","33.7 %","9.4 %","13.7 %","581","2234"
"Rajai Davis","Blue Jays",".314","1.40","22.9 %","45.0 %","32.1 %","13.8 %","7.3 %","487","3708"
"Jeremy Hermida","Padres",".353","8.00","47.1 %","47.1 %","5.9 %","0.0 %","0.0 %","27","7208"
"Zack Cozart","Reds",".282","1.09","20.0 %","41.7 %","38.3 %","14.1 %","8.8 %","600","2616"
"Rafael Furcal","Cardinals",".289","1.99","18.8 %","54.1 %","27.2 %","13.3 %","4.4 %","531","88"
"Colby Rasmus","Blue Jays",".259","0.89","20.1 %","37.6 %","42.2 %","14.4 %","13.2 %","625","9893"
"Greg Dobbs","Marlins",".321","1.46","26.8 %","43.4 %","29.8 %","8.6 %","6.2 %","342","2158"
"Andres Torres","Mets",".293","1.73","24.7 %","47.7 %","27.6 %","11.7 %","3.9 %","434","1488"
"Drew Sutton","- - -",".375","0.93","27.5 %","35.0 %","37.5 %","0.0 %","3.3 %","130","7430"
"Michael Young","Rangers",".299","2.22","22.9 %","53.2 %","23.9 %","3.1 %","6.1 %","651","1286"
"Scott Podsednik","Red Sox",".358","1.60","19.8 %","49.4 %","30.9 %","16.0 %","2.0 %","216","1095"
"Omar Quintanilla","- - -",".296","2.12","17.2 %","56.3 %","26.6 %","2.9 %","11.8 %","190","6335"
"Jose Tabata","Pirates",".287","3.09","18.1 %","61.9 %","20.0 %","9.3 %","5.6 %","374","2411"
"Steve Lombardozzi","Nationals",".304","1.44","20.4 %","47.0 %","32.6 %","13.8 %","2.8 %","416","5422"
"Joaquin Arias","Giants",".295","1.48","21.9 %","46.6 %","31.5 %","11.4 %","5.7 %","344","3817"
"Hector Sanchez","Giants",".349","1.28","21.9 %","43.8 %","34.3 %","5.2 %","5.2 %","227","10289"
"Vernon Wells","Angels",".226","1.01","15.7 %","42.4 %","41.9 %","14.8 %","12.5 %","262","1326"
"Alex Presley","Pirates",".273","2.59","17.4 %","59.6 %","23.0 %","9.8 %","16.4 %","370","5305"
"Lou Marson","Indians",".289","3.17","20.4 %","60.5 %","19.1 %","6.9 %","0.0 %","235","7610"
"Jesus Montero","Mariners",".292","1.29","24.6 %","42.6 %","32.9 %","5.0 %","10.8 %","553","5514"
"Collin Cowgill","Athletics",".351","2.53","23.1 %","55.1 %","21.8 %","35.3 %","5.9 %","116","7250"
"Ryan Sweeney","Red Sox",".327","1.62","24.1 %","46.9 %","29.0 %","19.1 %","0.0 %","219","6352"
"Shelley Duncan","Indians",".218","0.58","14.8 %","31.3 %","54.0 %","16.8 %","11.6 %","264","3620"
"Gordon Beckham","White Sox",".254","0.90","19.5 %","38.2 %","42.3 %","14.1 %","8.7 %","582","9015"
"Mark Kotsay","Padres",".273","1.15","21.7 %","41.9 %","36.4 %","17.0 %","4.3 %","156","1042"
"Daric Barton","Athletics",".275","1.06","18.5 %","42.0 %","39.5 %","31.3 %","3.1 %","136","5928"
"Brandon Laird","Astros",".308","0.92","14.8 %","40.7 %","44.4 %","25.0 %","8.3 %","37","5476"
"Chris Getz","Royals",".299","1.51","29.3 %","42.5 %","28.1 %","17.0 %","0.0 %","210","3388"
"Rick Ankiel","Nationals",".330","1.00","17.5 %","41.2 %","41.2 %","12.5 %","12.5 %","171","1142"
"Mike Carp","Mariners",".263","1.69","21.0 %","49.6 %","29.4 %","14.3 %","14.3 %","189","7480"
"Matt Adams","Cardinals",".317","1.13","17.7 %","43.5 %","38.7 %","4.2 %","8.3 %","91","9393"
"Jonathan Herrera","Rockies",".306","1.98","21.9 %","51.9 %","26.2 %","14.6 %","6.3 %","251","4182"
"Chris Parmelee","Twins",".287","0.85","18.4 %","37.6 %","44.0 %","6.5 %","8.1 %","210","2554"
"Jack Hannahan","Indians",".299","1.06","22.8 %","39.7 %","37.5 %","4.8 %","4.8 %","318","3692"
"Brett Jackson","Cubs",".298","0.75","31.1 %","29.5 %","39.3 %","8.3 %","16.7 %","142","9632"
"Eric Hosmer","Royals",".255","1.92","18.5 %","53.6 %","27.9 %","9.7 %","11.3 %","598","3516"
"Ben Francisco","- - -",".298","0.89","25.9 %","35.0 %","39.2 %","17.9 %","7.1 %","207","4677"
"Everth Cabrera","Padres",".336","3.00","19.1 %","60.7 %","20.2 %","5.6 %","3.7 %","449","8155"
"Juan Diaz","Indians",".400","8.00","20.0 %","80.0 %","0.0 %","0.0 %","0.0 %","17","9235"
"Stephen Drew","- - -",".275","0.80","27.6 %","32.2 %","40.2 %","11.6 %","8.1 %","327","4251"
"Jarrod Dyson","Royals",".318","2.37","18.8 %","57.1 %","24.1 %","5.6 %","0.0 %","330","4866"
"Eric Thames","- - -",".305","1.17","19.4 %","43.5 %","37.1 %","5.8 %","13.0 %","290","3711"
"Tyler Greene","- - -",".292","1.28","22.1 %","43.8 %","34.1 %","9.9 %","15.5 %","330","4675"
"Emilio Bonifacio","Marlins",".325","2.24","16.6 %","57.7 %","25.7 %","11.1 %","2.2 %","274","4054"
"Cameron Maybin","Padres",".293","1.95","16.1 %","55.5 %","28.4 %","8.1 %","7.2 %","561","5223"
"J.J. Hardy","Orioles",".253","1.09","16.9 %","43.3 %","39.7 %","12.2 %","10.0 %","713","3797"
"Elliot Johnson","Rays",".316","1.53","21.9 %","47.3 %","30.8 %","14.5 %","9.7 %","331","4751"
"Luis Valbuena","Cubs",".260","1.23","21.2 %","43.4 %","35.4 %","12.0 %","5.3 %","303","4969"
"Shane Robinson","Cardinals",".295","1.81","11.9 %","56.7 %","31.3 %","16.7 %","7.1 %","181","4249"
"Jose Lobaton","Rays",".289","1.34","16.3 %","48.0 %","35.8 %","4.5 %","4.5 %","197","4243"
"John McDonald","Diamondbacks",".272","1.02","18.6 %","41.0 %","40.4 %","24.6 %","9.2 %","213","395"
"Darnell McDonald","- - -",".235","0.85","12.9 %","40.0 %","47.1 %","12.1 %","6.1 %","103","1867"
"Chris Gimenez","Rays",".333","1.19","21.3 %","42.7 %","36.0 %","18.5 %","3.7 %","109","7324"
"Sam Fuld","Rays",".298","2.17","26.0 %","50.6 %","23.4 %","0.0 %","0.0 %","107","8254"
"Ryan Roberts","- - -",".267","0.89","18.5 %","38.5 %","43.0 %","9.9 %","7.9 %","489","5653"
"Xavier Avery","Orioles",".286","2.63","14.7 %","61.8 %","23.5 %","12.5 %","6.3 %","107","8471"
"Alexi Amarista","- - -",".265","1.67","19.4 %","50.4 %","30.2 %","8.6 %","7.1 %","300","9063"
"Justin Smoak","Mariners",".242","0.94","18.2 %","39.6 %","42.2 %","14.6 %","12.0 %","535","9054"
"Brennan Boesch","Tigers",".284","1.45","16.0 %","49.7 %","34.2 %","9.5 %","9.5 %","503","914"
"Mike Aviles","Red Sox",".269","1.04","19.3 %","41.1 %","39.5 %","14.4 %","7.5 %","546","5986"
"Darwin Barney","Cubs",".273","1.60","22.2 %","47.9 %","29.9 %","6.8 %","4.8 %","588","2430"
"Juan Rivera","Dodgers",".245","1.45","17.0 %","49.1 %","33.9 %","16.7 %","9.4 %","339","843"
"Maicer Izturis","Angels",".289","1.59","22.9 %","47.4 %","29.7 %","17.6 %","2.7 %","319","2437"
"Edwin Maysonet","Brewers",".280","0.83","12.5 %","39.6 %","47.9 %","21.7 %","4.3 %","66","5735"
"Justin Sellers","Dodgers",".276","1.22","31.0 %","37.9 %","31.0 %","0.0 %","11.1 %","50","4006"
"Brandon Inge","- - -",".266","1.09","22.3 %","40.5 %","37.2 %","10.0 %","15.0 %","331","470"
"Jeff Francoeur","Royals",".272","1.34","21.3 %","45.0 %","33.7 %","10.7 %","10.7 %","603","4792"
"Donnie Murphy","Marlins",".278","0.97","18.3 %","40.2 %","41.5 %","5.9 %","8.8 %","129","4704"
"Moises Sierra","Blue Jays",".278","1.77","16.5 %","53.4 %","30.1 %","3.2 %","19.4 %","157","6050"
"Yunel Escobar","Blue Jays",".273","2.25","18.7 %","56.3 %","25.1 %","4.1 %","7.4 %","608","4191"
"John Buck","Marlins",".235","1.07","17.4 %","42.7 %","39.8 %","8.3 %","12.5 %","398","2041"
"Jose Molina","Rays",".262","1.77","18.4 %","52.1 %","29.5 %","17.9 %","14.3 %","274","25"
"Brandon Crawford","Giants",".307","1.57","22.7 %","47.2 %","30.1 %","13.7 %","3.9 %","476","5343"
"Brian Schneider","Phillies",".250","1.00","16.2 %","41.9 %","41.9 %","12.9 %","6.5 %","98","795"
"Casey McGehee","- - -",".248","1.52","15.5 %","51.0 %","33.5 %","9.5 %","10.7 %","352","6086"
"Ryan Theriot","Giants",".308","2.29","25.1 %","52.1 %","22.8 %","7.1 %","0.0 %","384","3811"
"Jeff Baker","- - -",".297","1.89","26.8 %","47.9 %","25.4 %","2.8 %","11.1 %","201","2073"
"Alexei Ramirez","White Sox",".290","1.38","19.8 %","46.4 %","33.7 %","12.6 %","5.1 %","621","5133"
"Mat Gamel","Brewers",".296","1.05","29.1 %","36.4 %","34.5 %","0.0 %","5.3 %","75","4034"
"Adeiny Hechavarria","Blue Jays",".323","1.55","21.3 %","47.9 %","30.9 %","3.4 %","6.9 %","137","10459"
"Yuniesky Betancourt","Royals",".226","0.87","17.6 %","38.3 %","44.0 %","17.6 %","8.2 %","228","8585"
"Anthony Gose","Blue Jays",".340","2.90","18.8 %","60.4 %","20.8 %","4.8 %","4.8 %","189","5097"
"Ryan Wheeler","Diamondbacks",".287","1.72","22.7 %","48.9 %","28.4 %","4.0 %","4.0 %","119","9312"
"Aubrey Huff","Giants",".212","0.80","19.4 %","35.8 %","44.8 %","16.7 %","3.3 %","95","1213"
"Tony Abreu","Royals",".298","1.80","27.6 %","46.6 %","25.9 %","13.3 %","6.7 %","74","5053"
"Placido Polanco","Phillies",".274","2.35","20.8 %","55.6 %","23.7 %","6.1 %","3.0 %","328","1176"
"Jason Bourgeois","Royals",".276","2.85","13.8 %","63.8 %","22.4 %","46.2 %","0.0 %","66","2225"
"Nick Punto","- - -",".286","1.54","23.9 %","46.2 %","29.9 %","8.6 %","2.9 %","191","1429"
"Yorvit Torrealba","- - -",".263","1.67","17.9 %","51.3 %","30.8 %","8.3 %","8.3 %","218","1135"
"Daniel Descalso","Cardinals",".279","1.40","23.4 %","44.7 %","32.0 %","9.7 %","4.3 %","426","8392"
"Adam Rosales","Athletics",".270","0.90","27.6 %","34.2 %","38.2 %","10.3 %","6.9 %","111","9682"
"Jean Segura","- - -",".302","3.42","15.2 %","65.6 %","19.2 %","8.3 %","0.0 %","166","5933"
"Alex Liddi","Mariners",".354","0.93","21.2 %","37.9 %","40.9 %","18.5 %","11.1 %","126","5411"
"John Hester","Angels",".263","0.96","20.3 %","39.0 %","40.7 %","8.3 %","12.5 %","95","877"
"Jeff Mathis","Blue Jays",".279","0.82","19.9 %","36.2 %","44.0 %","12.9 %","12.9 %","227","3448"
"Hector Luna","Phillies",".261","0.87","10.4 %","41.7 %","47.9 %","13.0 %","8.7 %","66","1874"
"Jemile Weeks","Athletics",".256","1.56","18.8 %","49.5 %","31.7 %","7.6 %","1.7 %","511","2498"
"Danny Worth","Tigers",".308","1.36","34.0 %","38.0 %","28.0 %","7.1 %","0.0 %","90","198"
"Henry Rodriguez","Reds",".250","3.50","25.0 %","58.3 %","16.7 %","0.0 %","0.0 %","16","7983"
"Jordy Mercer","Pirates",".250","1.53","22.4 %","46.9 %","30.6 %","20.0 %","6.7 %","68","6547"
"Derek Norris","Athletics",".255","1.02","21.5 %","39.6 %","38.9 %","23.2 %","12.5 %","232","6867"
"Brandon Hicks","Athletics",".267","0.61","12.1 %","33.3 %","54.5 %","11.1 %","16.7 %","70","4003"
"Nyjer Morgan","Brewers",".296","1.93","20.6 %","52.3 %","27.1 %","6.9 %","5.2 %","322","4885"
"Devin Mesoraco","Reds",".234","1.20","16.7 %","45.5 %","37.9 %","12.0 %","10.0 %","184","5666"
"Trayvon Robinson","Mariners",".293","2.45","29.6 %","50.0 %","20.4 %","0.0 %","15.0 %","164","9875"
"Yan Gomes","Blue Jays",".246","1.28","14.9 %","47.8 %","37.3 %","8.0 %","16.0 %","111","9627"
"Dustin Ackley","Mariners",".265","1.29","19.4 %","45.5 %","35.1 %","12.9 %","7.1 %","668","10099"
"Josh Harrison","Pirates",".259","0.90","22.4 %","36.7 %","41.0 %","9.3 %","3.5 %","276","8202"
"Ian Stewart","Cubs",".242","2.06","16.0 %","56.5 %","27.5 %","5.6 %","13.9 %","202","5950"
"Tony Campana","Cubs",".351","7.50","21.3 %","69.4 %","9.3 %","10.0 %","0.0 %","192","4964"
"Rod Barajas","Pirates",".224","0.42","19.1 %","23.8 %","57.0 %","13.7 %","7.5 %","361","45"
"Gaby Sanchez","- - -",".245","0.97","16.8 %","41.0 %","42.2 %","15.5 %","6.8 %","326","3361"
"James Loney","- - -",".269","1.56","24.7 %","45.8 %","29.4 %","6.2 %","5.3 %","465","4556"
"Mike Jacobs","Diamondbacks",".308","0.33","38.5 %","15.4 %","46.2 %","0.0 %","0.0 %","23","2231"
"Jose Lopez","- - -",".278","1.31","20.7 %","44.9 %","34.3 %","14.7 %","5.9 %","248","3114"
"Peter Bourjos","Angels",".274","1.48","13.3 %","51.7 %","35.0 %","9.5 %","7.1 %","195","2578"
"Tony Cruz","Cardinals",".287","1.14","13.8 %","45.9 %","40.4 %","15.9 %","2.3 %","131","2802"
"Chris Stewart","Yankees",".273","0.71","19.3 %","33.6 %","47.1 %","26.8 %","1.8 %","157","3878"
"Casey Kotchman","Indians",".233","1.96","15.7 %","55.8 %","28.5 %","15.3 %","10.2 %","500","1930"
"Drew Stubbs","Reds",".290","1.53","14.9 %","51.4 %","33.7 %","7.5 %","13.2 %","544","9328"
"Brian Bogusevic","Astros",".257","2.20","19.9 %","55.1 %","25.0 %","10.9 %","10.9 %","404","4719"
"Johnny Damon","Indians",".239","1.18","18.9 %","43.9 %","37.2 %","17.9 %","6.0 %","224","185"
"Geovany Soto","- - -",".222","1.00","20.8 %","39.6 %","39.6 %","7.1 %","11.1 %","361","3707"
"Matt Downs","Astros",".212","0.88","10.3 %","41.9 %","47.8 %","13.8 %","12.3 %","191","957"
"Corey Brown","Nationals",".267","1.17","18.8 %","43.8 %","37.5 %","0.0 %","16.7 %","27","2650"
"Chris Snyder","Astros",".222","1.38","17.9 %","47.7 %","34.4 %","13.5 %","13.5 %","258","4606"
"Ryan Flaherty","Orioles",".257","0.96","13.0 %","42.6 %","44.4 %","8.3 %","12.5 %","167","7888"
"Tyler Pastornicky","Braves",".287","3.71","18.1 %","64.5 %","17.4 %","4.2 %","8.3 %","188","6777"
"Sean Rodriguez","Rays",".260","1.25","15.1 %","47.1 %","37.8 %","17.6 %","7.1 %","342","6589"
"Brett Pill","Giants",".220","1.17","11.6 %","47.7 %","40.7 %","17.1 %","11.4 %","114","5834"
"Jurickson Profar","Rangers",".167","1.40","7.7 %","53.8 %","38.5 %","0.0 %","20.0 %","17","10815"
"Lew Ford","Orioles",".182","1.17","13.8 %","46.6 %","39.7 %","17.4 %","13.0 %","79","1724"
"Marwin Gonzalez","Astros",".264","2.02","19.5 %","53.8 %","26.6 %","17.8 %","4.4 %","219","5497"
"Matt Diaz","Braves",".256","1.68","14.8 %","53.4 %","31.8 %","3.6 %","7.1 %","118","1771"
"Freddy Galvis","Phillies",".253","1.09","21.2 %","41.1 %","37.7 %","7.0 %","5.3 %","200","6609"
"Taylor Green","Brewers",".205","1.30","13.8 %","48.8 %","37.5 %","3.3 %","10.0 %","117","9147"
"Miguel Olivo","Mariners",".266","1.02","19.7 %","40.6 %","39.7 %","15.4 %","13.2 %","323","1638"
"Travis Buck","Astros",".286","3.09","19.6 %","60.7 %","19.6 %","9.1 %","0.0 %","81","4646"
"David Lough","Royals",".275","0.95","18.0 %","40.0 %","42.0 %","9.5 %","0.0 %","65","7215"
"Jordan Schafer","Astros",".304","1.27","21.1 %","44.2 %","34.7 %","9.1 %","6.1 %","360","9883"
"Will Rhymes","Rays",".255","1.14","26.7 %","39.0 %","34.3 %","5.6 %","2.8 %","137","9802"
"John Baker","Padres",".303","1.98","21.2 %","52.3 %","26.5 %","5.0 %","0.0 %","214","4756"
"Alexi Casilla","Twins",".283","2.06","18.9 %","54.6 %","26.5 %","11.1 %","1.6 %","326","5248"
"Didi Gregorius","Reds",".400","3.33","13.3 %","66.7 %","20.0 %","0.0 %","0.0 %","21","6012"
"Robert Andino","Orioles",".266","1.40","18.7 %","47.3 %","33.9 %","15.6 %","7.3 %","431","4900"
"Brian Dozier","Twins",".267","1.09","20.6 %","41.5 %","37.9 %","13.5 %","6.3 %","340","9810"
"Jose Constanza","Braves",".345","8.00","11.8 %","78.4 %","9.8 %","0.0 %","0.0 %","86","6003"
"Kurt Suzuki","- - -",".269","0.98","17.3 %","40.9 %","41.8 %","12.1 %","4.3 %","442","8259"
"Cliff Pennington","Athletics",".259","1.11","22.9 %","40.5 %","36.6 %","7.5 %","5.0 %","462","3395"
"Matt LaPorta","Indians",".325","1.47","9.8 %","53.7 %","36.6 %","20.0 %","6.7 %","60","2280"
"Clint Barmes","Pirates",".280","0.87","19.9 %","37.3 %","42.8 %","21.6 %","5.4 %","493","1830"
"Brad Eldred","Tigers",".300","6.00","30.0 %","60.0 %","10.0 %","0.0 %","0.0 %","17","4328"
"Humberto Quintero","Royals",".282","1.37","18.2 %","47.3 %","34.5 %","2.6 %","2.6 %","144","1824"
"Cesar Izturis","- - -",".252","2.29","21.2 %","54.8 %","24.0 %","8.6 %","5.7 %","173","656"
"Ramon Hernandez","Rockies",".235","2.05","20.8 %","53.2 %","26.0 %","10.0 %","12.5 %","196","918"
"Pedro Florimon","Twins",".274","2.65","20.0 %","58.1 %","21.9 %","0.0 %","4.3 %","150","8385"
"Brian Bixler","Astros",".300","1.44","15.4 %","50.0 %","34.6 %","11.1 %","11.1 %","96","8055"
"Leonys Martin","Rangers",".229","1.60","23.5 %","47.1 %","29.4 %","40.0 %","0.0 %","52","11846"
"Bobby Wilson","Angels",".243","1.27","17.2 %","46.3 %","36.6 %","24.5 %","6.1 %","201","6564"
"Mark DeRosa","Nationals",".235","2.22","13.4 %","59.7 %","26.9 %","11.1 %","0.0 %","101","1392"
"Josh Thole","Mets",".273","2.45","18.8 %","57.7 %","23.5 %","4.7 %","1.6 %","354","9689"
"Gorkys Hernandez","- - -",".243","2.42","17.6 %","58.3 %","24.1 %","7.7 %","11.5 %","173","4146"
"Mitch Maier","Royals",".231","0.52","17.9 %","28.2 %","53.8 %","4.8 %","9.5 %","74","5588"
"Adron Chambers","Cardinals",".333","2.11","17.6 %","55.9 %","26.5 %","11.1 %","0.0 %","62","7995"
"Eric Hinske","Braves",".267","1.26","15.4 %","47.3 %","37.4 %","8.8 %","5.9 %","147","1305"
"Carlos Triunfel","Mariners",".278","2.20","11.1 %","61.1 %","27.8 %","20.0 %","0.0 %","24","193"
"Brayan Pena","Royals",".253","1.77","24.6 %","48.2 %","27.2 %","3.8 %","3.8 %","226","3231"
"Johnny Giavotella","Royals",".290","1.57","22.6 %","47.3 %","30.1 %","11.4 %","2.3 %","189","6740"
"Joe Mather","Cubs",".239","1.07","19.2 %","41.8 %","39.0 %","14.5 %","7.2 %","243","3714"
"Dee Gordon","Dodgers",".281","2.87","20.5 %","58.9 %","20.5 %","13.3 %","2.2 %","330","8203"
"Ramon Santiago","Tigers",".239","1.71","16.9 %","52.5 %","30.6 %","10.7 %","3.6 %","259","1417"
"Andy Parrino","Padres",".284","0.97","25.6 %","36.6 %","37.8 %","12.9 %","3.2 %","138","3972"
"Jordan Danks","White Sox",".269","1.50","21.6 %","47.1 %","31.4 %","6.3 %","6.3 %","75","9187"
"Brendan Ryan","Mariners",".244","1.05","19.7 %","41.1 %","39.2 %","26.0 %","2.4 %","470","6073"
"Bryan Holaday","Tigers",".300","6.00","30.0 %","60.0 %","10.0 %","100.0 %","0.0 %","13","11287"
